17032,3916,Pipe,"[['Copper', 3916]]","[['Pipe', 3916]]",0.0
17033,3915,Pipe,"[['Copper', 3915]]","[['Pipe', 3915]]",0.0
17034,3915,Pipe,"[['Copper', 3915]]","[['Pipe', 3915]]",0.0
17035,3914,Pipe,"[['Copper', 3914]]","[['Pipe', 3914]]",0.0
17036,3914,Pipe,"[['Copper', 3914]]","[['Pipe', 3914]]",0.0
17037,3913,Pipe,"[['Copper', 3913]]","[['Pipe', 3913]]",0.0
17038,3913,Pipe,"[['Copper', 3913]]","[['Pipe', 3913]]",0.0
17039,3912,Pipe,"[['Copper', 3912]]","[['Pipe', 3912]]",0.0
17040,3912,Pipe,"[['Copper', 3912]]","[['Pipe', 3912]]",0.0
17041,3911,Pipe,"[['Copper', 3911]]","[['Pipe', 3911]]",0.0
17042,3911,Pipe,"[['Copper', 3911]]","[['Pipe', 3911]]",0.0
17043,3910,Pipe,"[['Copper', 3910]]","[['Pipe', 3910]]",0.0
17044,3910,Pipe,"[['Copper', 3910]]","[['Pipe', 3910]]",0.0
17045,3909,Pipe,"[['Copper', 3909]]","[['Pipe', 3909]]",0.0
17046,3909,Pipe,"[['Copper', 3909]]","[['Pipe', 3909]]",0.0
17047,3908,Pipe,"[['Copper', 3908]]","[['Pipe', 3908]]",0.0
17048,3908,Pipe,"[['Copper', 3908]]","[['Pipe', 3908]]",0.0
17049,3907,Pipe,"[['Copper', 3907]]","[['Pipe', 3907]]",0.0
17050,3907,Pipe,"[['Copper', 3907]]","[['Pipe', 3907]]",0.0
17051,3906,Pipe,"[['Copper', 3906]]","[['Pipe', 3906]]",0.0
17052,3906,Pipe,"[['Copper', 3906]]","[['Pipe', 3906]]",0.0
17053,3905,Pipe,"[['Copper', 3905]]","[['Pipe', 3905]]",0.0
17054,3905,Pipe,"[['Copper', 3905]]","[['Pipe', 3905]]",0.0
17055,3904,Pipe,"[['Copper', 3904]]","[['Pipe', 3904]]",0.0
17056,3904,Pipe,"[['Copper', 3904]]","[['Pipe', 3904]]",0.0
17057,3903,Pipe,"[['Copper', 3903]]","[['Pipe', 3903]]",0.0
17058,3903,Pipe,"[['Copper', 3903]]","[['Pipe', 3903]]",0.0
17059,3902,Pipe,"[['Copper', 3902]]","[['Pipe', 3902]]",0.0
17060,3902,Pipe,"[['Copper', 3902]]","[['Pipe', 3902]]",0.0
17061,3901,Pipe,"[['Copper', 3901]]","[['Pipe', 3901]]",0.0
17062,3901,Pipe,"[['Copper', 3901]]","[['Pipe', 3901]]",0.0
17063,3900,Pipe,"[['Copper', 3900]]","[['Pipe', 3900]]",0.0
17064,3900,Pipe,"[['Copper', 3900]]","[['Pipe', 3900]]",0.0
17065,3899,Pipe,"[['Copper', 3899]]","[['Pipe', 3899]]",0.0
17066,3899,Pipe,"[['Copper', 3899]]","[['Pipe', 3899]]",0.0
17067,3898,Pipe,"[['Copper', 3898]]","[['Pipe', 3898]]",0.0
17068,3898,Pipe,"[['Copper', 3898]]","[['Pipe', 3898]]",0.0
17069,3897,Pipe,"[['Copper', 3897]]","[['Pipe', 3897]]",0.0
17070,3897,Pipe,"[['Copper', 3897]]","[['Pipe', 3897]]",0.0
17071,3896,Pipe,"[['Copper', 3896]]","[['Pipe', 3896]]",0.0
17072,3896,Pipe,"[['Copper', 3896]]","[['Pipe', 3896]]",0.0
17073,3895,Pipe,"[['Copper', 3895]]","[['Pipe', 3895]]",0.0
17074,3895,Pipe,"[['Copper', 3895]]","[['Pipe', 3895]]",0.0
17075,3894,Pipe,"[['Copper', 3894]]","[['Pipe', 3894]]",0.0
17076,3894,Pipe,"[['Copper', 3894]]","[['Pipe', 3894]]",0.0
17077,3893,Pipe,"[['Copper', 3893]]","[['Pipe', 3893]]",0.0
17078,3893,Pipe,"[['Copper', 3893]]","[['Pipe', 3893]]",0.0
