Name,Material,Width (inches),Length (feet),Parent,Root,Endpoint,D_INF,Alpha,Lambda
BASE-CW-2,Pex,2,80,NONE,TRUE,,0.01946,114,0.1
SNK-B01,Pex,1.5,32,BASE-CW-2,,,0.01946,114,0.1
BASE-CW-3,Pex,2,20,BASE-CW-2,,,0.01946,114,0.1
SNK-B02,Pex,1.5,32,BASE-CW-3,,,0.01946,114,0.1
1ST-SNK-CW,Pex,2,24,BASE-CW-3,,,0.01946,114,0.1
SNK-1ST-01,Pex,1.5,32,1ST-SNK-CW,,,0.01946,114,0.1
2ND-SNK-CW,Pex,2,24,1ST-SNK-CW,,,0.01946,114,0.1
3RD-SNK-CW,Pex,2,24,2ND-SNK-CW,,,0.01946,114,0.1
SNK-2ND-01,Pex,1.5,32,2ND-SNK-CW,,,0.01946,114,0.1
SNK-3RD-01,Pex,1.5,32,3RD-SNK-CW,,,0.01946,114,0.1
4TH-SNK-CW,Pex,2,24,3RD-SNK-CW,,,0.01946,114,0.1
SNK-4TH-01,Pex,1.5,32,4TH-SNK-CW,,,0.01946,114,0.1
SNK-1ST-02,Copper,1,8,SNK-1ST-01,,,0.01946,114,0.1
SNK-2ND-02,Copper,1,8,SNK-2ND-01,,,0.01946,114,0.1
SNK-3RD-02,Copper,1,8,SNK-3RD-01,,,0.01946,114,0.1
SNK-4TH-02,Copper,1,8,SNK-4TH-01,,,0.01946,114,0.1
SNK-B01-endpoint,None,0,0,SNK-B01,,TRUE,0.01946,114,0.1
SNK-B02-endpoint,None,0,0,SNK-B02,,TRUE,0.01946,114,0.1
SNK-1ST-02-endpoint,None,0,0,SNK-1ST-02,,TRUE,0.01946,114,0.1
SNK-2ND-02-endpoint,None,0,0,SNK-2ND-02,,TRUE,0.01946,114,0.1
SNK-3RD-02-endpoint,None,0,0,SNK-3RD-02,,TRUE,0.01946,114,0.1
SNK-4TH-02-endpoint,None,0,0,SNK-4TH-02,,TRUE,0.01946,114,0.1
